iata,icao,state
WIR,NZWO,Auckland
\N,NZWP,Auckland
WRE,NZWR,Auckland
WSZ,NZWS,Auckland
WAG,NZWU,Auckland
HEA,OAHR,Kabul
JAA,OAJL,Kabul
KBL,OAKB,Kabul
KDH,OAKN,Kabul
MMZ,OAMN,Kabul
MZR,OAMS,Kabul
OAH,OASD,Kabul
\N,OASG,Kabul
UND,OAUZ,Kabul
BAH,OBBI,Bahrain
\N,OBBS,Bahrain
AHB,OEAB,Riyadh
HOF,OEAH,Riyadh
ABT,OEBA,Riyadh
BHH,OEBH,Riyadh
\N,OEBQ,Riyadh
DMM,OEDF,Riyadh
DHA,OEDR,Riyadh
GIZ,OEGN,Riyadh
ELQ,OEGS,Riyadh
URY,OEGT,Riyadh
HAS,OEHL,Riyadh
QJB,OEJB,Riyadh
\N,OEJF,Riyadh
JED,OEJN,Riyadh
KMC,OEKK,Riyadh
MED,OEMA,Riyadh
EAM,OENG,Riyadh
AQI,OEPA,Riyadh
\N,OEPC,Riyadh
\N,OEPF,Riyadh
\N,OEPJ,Riyadh
\N,OERB,Riyadh
RAH,OERF,Riyadh
RUH,OERK,Riyadh
\N,OERM,Riyadh
RAE,OERR,Riyadh
\N,OERT,Riyadh
SHW,OESH,Riyadh
SLF,OESL,Riyadh
TUU,OETB,Riyadh
TIF,OETF,Riyadh
\N,OETH,Riyadh
\N,OETN,Riyadh
TUI,OETR,Riyadh
EJH,OEWJ,Riyadh
YNB,OEYN,Riyadh
ABD,OIAA,Tehran
DEF,OIAD,Tehran
AKW,OIAG,Tehran
GCH,OIAH,Tehran
\N,OIAI,Tehran
OMI,OIAJ,Tehran
MRX,OIAM,Tehran
AWZ,OIAW,Tehran
AEU,OIBA,Tehran
BUZ,OIBB,Tehran
\N,OIBH,Tehran
\N,OIBI,Tehran
KIH,OIBK,Tehran
BDH,OIBL,Tehran
KHK,OIBQ,Tehran
SXI,OIBS,Tehran
LVP,OIBV,Tehran
KSH,OICC,Tehran
SDG,OICS,Tehran
IFH,OIFE,Tehran
\N,OIFH,Tehran
KKS,OIFK,Tehran
IFN,OIFM,Tehran
\N,OIFP,Tehran
RAS,OIGG,Tehran
AJK,OIHR,Tehran
\N,OIIA,Tehran
\N,OIIC,Tehran
\N,OIID,Tehran
\N,OIIG,Tehran
THR,OIII,Tehran
GZW,OIIK,Tehran
\N,OIIM,Tehran
BND,OIKB,Tehran
JYR,OIKJ,Tehran
KER,OIKK,Tehran
HDR,OIKP,Tehran
\N,OIKQ,Tehran
SYJ,OIKY,Tehran
XBJ,OIMB,Tehran
CKT,OIMC,Tehran
RUD,OIMJ,Tehran
TCX,OIMT,Tehran
KLM,OINE,Tehran
RZR,OINR,Tehran
FAZ,OISF,Tehran
JAR,OISJ,Tehran
LFM,OISR,Tehran
SYZ,OISS,Tehran
KHY,OITK,Tehran
TBZ,OITT,Tehran
JWN,OITZ,Tehran
AZD,OIYY,Tehran
ACZ,OIZB,Tehran
ZBR,OIZC,Tehran
ZAH,OIZH,Tehran
IHR,OIZI,Tehran
\N,OIZS,Tehran
AMM,OJAI,Amman
ADJ,OJAM,Amman
AQJ,OJAQ,Amman
\N,OJHF,Amman
\N,OJJR,Jerusalem
OMF,OJMF,Amman
KWI,OKBK,Kuwait
BEY,OLBA,Beirut
KYE,OLKA,Beirut
AUH,OMAA,Dubai
AZI,OMAD,Dubai
\N,OMAH,Dubai
\N,OMAJ,Dubai
DHF,OMAM,Dubai
\N,OMAR,Dubai
\N,OMAS,Dubai
\N,OMAZ,Dubai
DXB,OMDB,Dubai
FJR,OMFJ,Dubai
RKT,OMRK,Dubai
SHJ,OMSJ,Dubai
KHS,OOKB,Muscat
MSH,OOMA,Muscat
MCT,OOMS,Muscat
SLL,OOSA,Muscat
TTH,OOTH,Muscat
BHW,OPBG,Karachi
LYP,OPFA,Karachi
GWD,OPGD,Karachi
GIL,OPGT,Karachi
JAG,OPJA,Karachi
KHI,OPKC,Karachi
LHE,OPLA,Karachi
\N,OPLH,Karachi
XJM,OPMA,Karachi
MFG,OPMF,Karachi
MWD,OPMI,Karachi
MJD,OPMJ,Karachi
\N,OPMR,Karachi
MUX,OPMT,Karachi
WNS,OPNH,Karachi
\N,OPOK,Karachi
PJG,OPPG,Karachi
PSI,OPPI,Karachi
PEW,OPPS,Karachi
\N,OPQS,Karachi
UET,OPQT,Karachi
RYK,OPRK,Karachi
\N,OPRN,Karachi
\N,OPRS,Karachi
RAZ,OPRT,Karachi
SKZ,OPSK,Karachi
SDT,OPSS,Karachi
SUL,OPSU,Karachi
BDN,OPTH,Karachi
WAF,OPWN,Karachi
PZH,OPZB,Karachi
BSR,ORMM,Baghdad
ALP,OSAP,Damascus
DAM,OSDI,Damascus
DEZ,OSDZ,Damascus
LTK,OSLK,Damascus
PMS,OSPR,Damascus
DIA,OTBD,Qatar
CIS,PCIS,Enderbury
ROP,PGRO,Saipan
SPN,PGSN,Saipan
UAM,PGUA,Guam
GUM,PGUM,Guam
TIQ,PGWT,Saipan
MAJ,PKMJ,Majuro
\N,PKRO,Majuro
KWA,PKWA,Majuro
CXI,PLCH
MDY,PMDY,Midway
TKK,PTKK,Truk
PNI,PTPN,Ponape
ROR,PTRO,Palau
KSA,PTSA,Kosrae
YAP,PTYA,Truk
KNH,RCBS,Taipei
\N,RCDC,Taipei
\N,RCDI,Taipei
TTT,RCFN,Taipei
GNI,RCGI,Taipei
KHH,RCKH,Taipei
CYI,RCKU,Taipei
KYD,RCLY,Taipei
RMQ,RCMQ,Taipei
TNN,RCNN,Taipei
HSZ,RCPO,Taipei
MZG,RCQC,Taipei
\N,RCQS,Taipei
PIF,RCSQ,Taipei
TSA,RCSS,Taipei
TPE,RCTP,Taipei
WOT,RCWA,Taipei
HUN,RCYU,Taipei
NRT,RJAA,Tokyo
MMJ,RJAF,Tokyo
IBR,RJAH,Tokyo
MUS,RJAM,Tokyo
IWO,RJAW,Tokyo
SHM,RJBD,Tokyo
\N,RJBK,Tokyo
OBO,RJCB,Tokyo
CTS,RJCC,Tokyo
HKD,RJCH,Tokyo
\N,RJCJ,Tokyo
MMB,RJCM,Tokyo
SHB,RJCN,Tokyo
\N,RJCT,Tokyo
WKJ,RJCW,Tokyo
IKI,RJDB,Tokyo
UBJ,RJDC,Tokyo
TSJ,RJDT,Tokyo
MBE,RJEB,Tokyo
AKJ,RJEC,Tokyo
OIR,RJEO,Tokyo
RIS,RJER,Tokyo
\N,RJFA,Tokyo
KUM,RJFC,Tokyo
FUJ,RJFE,Tokyo
FUK,RJFF,Tokyo
TNE,RJFG,Tokyo
KOJ,RJFK,Tokyo
KMI,RJFM,Tokyo
\N,RJFN,Tokyo
OIT,RJFO,Tokyo
KKJ,RJFR,Tokyo
KMJ,RJFT,Tokyo
NGS,RJFU,Tokyo
\N,RJFY,Tokyo
\N,RJFZ,Tokyo
ASJ,RJKA,Tokyo
OKE,RJKB,Tokyo
TKN,RJKN,Tokyo
FKJ,RJNF,Tokyo
QGU,RJNG,Tokyo
\N,RJNH,Tokyo
KMQ,RJNK,Tokyo
OKI,RJNO,Tokyo
TOY,RJNT,Tokyo
\N,RJNY,Tokyo
HIJ,RJOA,Tokyo
OKJ,RJOB,Tokyo
IZO,RJOC,Tokyo
\N,RJOF,Tokyo
YGJ,RJOH,Tokyo
KCZ,RJOK,Tokyo
MYJ,RJOM,Tokyo
ITM,RJOO,Tokyo
TTJ,RJOR,Tokyo
TKS,RJOS,Tokyo
TAK,RJOT,Tokyo
\N,RJOY,Tokyo
\N,RJOZ,Tokyo
AOJ,RJSA,Tokyo
GAJ,RJSC,Tokyo
SDS,RJSD,Tokyo
HHE,RJSH,Tokyo
HNA,RJSI,Tokyo
AXT,RJSK,Tokyo
MSJ,RJSM,Tokyo
SDJ,RJSS,Tokyo
\N,RJST,Tokyo
NJA,RJTA,Tokyo
\N,RJTE,Tokyo
HAC,RJTH,Tokyo
\N,RJTJ,Tokyo
\N,RJTK,Tokyo
\N,RJTL,Tokyo
OIM,RJTO,Tokyo
\N,RJTR,Tokyo
HND,RJTT,Tokyo
OKO,RJTY,Tokyo
KWJ,RKJJ,Seoul
CHN,RKJU,Seoul
RSU,RKJY,Seoul
\N,RKND,Seoul
KAG,RKNN,Seoul
CJU,RKPC,Seoul
CHF,RKPE,Seoul
PUS,RKPK,Seoul
USN,RKPU,Seoul
\N,RKSG,Seoul
SSN,RKSM,Seoul
OSN,RKSO,Seoul
GMP,RKSS,Seoul
SWU,RKSW,Seoul
KPO,RKTH,Seoul
TAE,RKTN,Seoul
YEC,RKTY,Seoul
OKA,ROAH,Tokyo
\N,RODE,Tokyo
DNA,RODN,Tokyo
ISG,ROIG,Tokyo
UEO,ROKJ,Tokyo
MMD,ROMD,Tokyo
MMY,ROMY,Tokyo
KTD,RORK,Tokyo
SHI,RORS,Tokyo
TRA,RORT,Tokyo
RNJ,RORY,Tokyo
\N,ROTM,Tokyo
OGN,ROYN,Tokyo
MNL,RPLL,Manila
CBO,RPMC,Manila
\N,RPML,Manila
PAG,RPMP,Manila
GES,RPMR,Manila
ZAM,RPMZ,Manila
BAG,RPUB,Manila
DTE,RPUD,Manila
\N,RPUF,Manila
\N,RPUG,Manila
SJI,RPUH,Manila
\N,RPUL,Manila
MBO,RPUM,Manila
\N,RPUQ,Manila
BQA,RPUR,Manila
\N,RPUZ,Manila
TAC,RPVA,Manila
BCD,RPVB,Manila
DGT,RPVD,Manila
MPH,RPVE,Manila
\N,RPVG,Manila
ILO,RPVI,Manila
KLO,RPVK,Manila
PPS,RPVP,Manila
EUQ,RPVS,Manila
COC,SAAC,Cordoba
GHU,SAAG,Cordoba
JNI,SAAJ,Buenos_Aires
PRA,SAAP,Cordoba
ROS,SAAR,Cordoba
SFN,SAAV,Cordoba
AEP,SABE,Buenos_Aires
COR,SACO,Cordoba
La_Rioja





Salta
Salta






La_Rioja
La_Rioja
Tucuman
San_Juan




San_Luis
San_Luis








Salta

Salta






Salta



Salta


Rio_Gallegos
Ushuaia
Rio_Gallegos
Ushuaia
Rio_Gallegos
Rio_Gallegos
Rio_Gallegos



Salta



Salta

Salta
Salta


Salta
Salta










































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































Rio_Gallegos




























































































































































































































































































































































































































































































































































































































































































































































































































































Salta
Rio_Gallegos
Salta
Rio_Gallegos
Rio_Gallegos





































































































































































































































































































































































































































































































































































































































































































































































































Salta
Salta

Salta
Salta




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































