iata,icao,state
\N,EBBX,Brussels
CRL,EBCI,Brussels
\N,EBCV,Brussels
\N,EBFN,Brussels
\N,EBFS,Brussels
KJK,EBKT,Brussels
LGG,EBLG,Brussels
OST,EBOS,Brussels
\N,EBSL,Brussels
\N,EBST,Brussels
\N,EBSU,Brussels
\N,EBUL,Brussels
\N,EBWE,Brussels
OBL,EBZR,Brussels
\N,EDAB,Berlin
AOC,EDAC,Berlin
\N,EDAD,Berlin
\N,EDAE,Berlin
\N,EDAK,Berlin
\N,EDAM,Berlin
\N,EDAQ,Berlin
IES,EDAU,Berlin
REB,EDAX,Berlin
\N,EDAY,Berlin
QXH,EDAZ,Berlin
BBH,EDBH,Berlin
\N,EDBJ,Berlin
\N,EDBK,Berlin
ZMG,EDBM,Berlin
\N,EDBR,Berlin
\N,EDCA,Berlin
CBU,EDCD,Berlin
\N,EDCM,Berlin
SXF,EDDB,Berlin
DRS,EDDC,Berlin
ERF,EDDE,Berlin
FRA,EDDF,Berlin
FMO,EDDG,Berlin
HAM,EDDH,Berlin
THF,EDDI,Berlin
CGN,EDDK,Berlin
DUS,EDDL,Berlin
MUC,EDDM,Berlin
NUE,EDDN,Berlin
LEJ,EDDP,Berlin
SCN,EDDR,Berlin
STR,EDDS,Berlin
TXL,EDDT,Berlin
HAJ,EDDV,Berlin
BRE,EDDW,Berlin
QEF,EDFE,Berlin
HHN,EDFH,Berlin
MHG,EDFM,Berlin
\N,EDFQ,Berlin
\N,EDFV,Berlin
\N,EDFZ,Berlin
EIB,EDGE,Berlin
SGE,EDGS,Berlin
XFW,EDHI,Berlin
KEL,EDHK,Berlin
LBC,EDHL,Berlin
\N,EDKV,Berlin
\N,EDKZ,Berlin
\N,EDLA,Berlin
ESS,EDLE,Berlin
BFE,EDLI,Berlin
MGL,EDLN,Berlin
PAD,EDLP,Berlin
\N,EDLS,Berlin
DTM,EDLW,Berlin
AGB,EDMA,Berlin
\N,EDMB,Berlin
\N,EDME,Berlin
\N,EDMN,Berlin
OBF,EDMO,Berlin
RBM,EDMS,Berlin
\N,EDMV,Berlin
\N,EDNL,Berlin
FDH,EDNY,Berlin
SZW,EDOP,Berlin
\N,EDOV,Berlin
\N,EDPA,Berlin
BYU,EDQD,Berlin
URD,EDQE,Berlin
HOQ,EDQM,Berlin
\N,EDQT,Berlin
\N,EDRK,Berlin
\N,EDRT,Berlin
\N,EDRY,Berlin
ZQW,EDRZ,Berlin
ZQL,EDTD,Berlin
\N,EDTF,Berlin
\N,EDTM,Berlin
\N,EDTY,Berlin
\N,EDUS,Berlin
BWE,EDVE,Berlin
KSF,EDVK,Berlin
\N,EDVM,Berlin
BRV,EDWB,Berlin
EME,EDWE,Berlin
\N,EDWF,Berlin
WVN,EDWI,Berlin
BMK,EDWR,Berlin
NRD,EDWY,Berlin
FLF,EDXF,Berlin
\N,EDXR,Berlin
GWT,EDXW,Berlin
\N,EEEI,Tallinn
KDL,EEKA,Tallinn
URE,EEKE,Tallinn
EPU,EEPU,Tallinn
TLL,EETN,Tallinn
TAY,EETU,Tallinn
ENF,EFET,Helsinki
\N,EFEU,Helsinki
KEV,EFHA,Helsinki
HEM,EFHF,Helsinki
HEL,EFHK,Helsinki
\N,EFHM,Helsinki
\N,EFHN,Helsinki
HYV,EFHV,Helsinki
\N,EFIK,Helsinki
\N,EFIM,Helsinki
KTQ,EFIT,Helsinki
IVL,EFIV,Helsinki
JOE,EFJO,Helsinki
JYV,EFJY,Helsinki
KAU,EFKA,Helsinki
KEM,EFKE,Helsinki
KAJ,EFKI,Helsinki
KHJ,EFKJ,Helsinki
KOK,EFKK,Helsinki
\N,EFKM,Helsinki
KAO,EFKS,Helsinki
KTT,EFKT,Helsinki
KUO,EFKU,Helsinki
QLF,EFLA,Helsinki
LPP,EFLP,Helsinki
MHQ,EFMA,Mariehamn
\N,EFME,Helsinki
MIK,EFMI,Helsinki
\N,EFNU,Helsinki
OUL,EFOU,Helsinki
\N,EFPI,Helsinki
POR,EFPO,Helsinki
\N,EFPU,Helsinki
\N,EFPY,Helsinki
\N,EFRH,Helsinki
\N,EFRN,Helsinki
RVN,EFRO,Helsinki
\N,EFRY,Helsinki
SVL,EFSA,Helsinki
\N,EFSE,Helsinki
SOT,EFSO,Helsinki
TMP,EFTP,Helsinki
\N,EFTS,Helsinki
TKU,EFTU,Helsinki
UTI,EFUT,Helsinki
VAA,EFVA,Helsinki
VRK,EFVR,Helsinki
YLI,EFYL,Helsinki
BFS,EGAA,London
ENK,EGAB,London
BHD,EGAC,London
LDY,EGAE,London
BHX,EGBB,London
CVT,EGBE,London
\N,EGBG,London
GLO,EGBJ,London
\N,EGBO,London
GBA,EGBP,London
\N,EGBT,London
\N,EGBW,London
MAN,EGCC,London
\N,EGCD,London
\N,EGDC,London
NQY,EGHQ,London
LYE,EGDL,London
\N,EGDM,London
\N,EGDR,London
\N,EGDX,London
YEO,EGDY,London
HAW,EGFE,London
CWL,EGFF,London
SWS,EGFH,London
BRS,EGGD,London
LPL,EGGP,London
LTN,EGGW,London
PLH,EGHD,London
BOH,EGHH,London
SOU,EGHI,London
QLA,EGHL,London
ACI,EGJA,Guernsey
GCI,EGJB,Guernsey
JER,EGJJ,Jersey
ESH,EGKA,London
BQH,EGKB,London
LGW,EGKK,London
LCY,EGLC,London
FAB,EGLF,London
\N,EGLJ,London
BBS,EGLK,London
LHR,EGLL,London
SEN,EGMC,London
LYX,EGMD,London
MSE,EGMH,London
\N,EGNB,London
CAX,EGNC,London
\N,EGNE,London
BLK,EGNH,London
HUY,EGNJ,London
BWF,EGNL,London
LBA,EGNM,London
WRT,EGNO,London
CEG,EGNR,London
IOM,EGNS,Isle_of_Man
NCL,EGNT,London
MME,EGNV,London
EMA,EGNX,London
\N,EGOD,London
\N,EGOE,London
\N,EGOS,London
\N,EGOW,London
KOI,EGPA,London
LSI,EGPB,London
WIC,EGPC,London
ABZ,EGPD,London
INV,EGPE,London
GLA,EGPF,London
EDI,EGPH,London
ILY,EGPI,London
PIK,EGPK,London
BEB,EGPL,London
SCS,EGPM,London
DND,EGPN,London
SYY,EGPO,London
TRE,EGPU,London
ADX,EGQL,London
LMO,EGQS,London
CBG,EGSC,London
\N,EGSF,London
NWI,EGSH,London
STN,EGSS,London
\N,EGSX,London
\N,EGSY,London
\N,EGTC,London
EXT,EGTE,London
FZO,EGTG,London
OXF,EGTK,London
BEX,EGUB,London
LKZ,EGUL,London
MHZ,EGUN,London
\N,EGUW,London
QUY,EGUY,London
FFD,EGVA,London
BZZ,EGVN,London
ODH,EGVO,London
\N,EGWC,London
NHT,EGWU,London
QCY,EGXC,London
\N,EGXD,London
\N,EGXE,London
\N,EGXG,London
BEQ,EGXH,London
\N,EGXJ,London
SQZ,EGXP,London
\N,EGXT,London
HRT,EGXU,London
WTN,EGXW,London
\N,EGXZ,London
\N,EGYD,London
\N,EGYE,London
KNF,EGYM,London
MPN,EGYP,Stanley
